"RowName","Category","DisplayName","IconAssetName","IconFolder","IconAssetPath","PickupMeshAssetName","PickupMeshFolder","PickupMeshAssetPath"
"Ammo_12GaugeShell","Ammo","12 Gauge Shell","T_Item_Ammo_12GaugeShell_Icon","/Game/Gercek/Items/Icons/Ammo","/Game/Gercek/Items/Icons/Ammo/T_Item_Ammo_12GaugeShell_Icon.T_Item_Ammo_12GaugeShell_Icon","SM_Item_Ammo_12GaugeShell_Pickup","/Game/Gercek/Items/Meshes/Ammo","/Game/Gercek/Items/Meshes/Ammo/SM_Item_Ammo_12GaugeShell_Pickup.SM_Item_Ammo_12GaugeShell_Pickup"
"Ammo_556Round","Ammo","556 Round","T_Item_Ammo_556Round_Icon","/Game/Gercek/Items/Icons/Ammo","/Game/Gercek/Items/Icons/Ammo/T_Item_Ammo_556Round_Icon.T_Item_Ammo_556Round_Icon","SM_Item_Ammo_556Round_Pickup","/Game/Gercek/Items/Meshes/Ammo","/Game/Gercek/Items/Meshes/Ammo/SM_Item_Ammo_556Round_Pickup.SM_Item_Ammo_556Round_Pickup"
"Ammo_762Round","Ammo","762 Round","T_Item_Ammo_762Round_Icon","/Game/Gercek/Items/Icons/Ammo","/Game/Gercek/Items/Icons/Ammo/T_Item_Ammo_762Round_Icon.T_Item_Ammo_762Round_Icon","SM_Item_Ammo_762Round_Pickup","/Game/Gercek/Items/Meshes/Ammo","/Game/Gercek/Items/Meshes/Ammo/SM_Item_Ammo_762Round_Pickup.SM_Item_Ammo_762Round_Pickup"
"Ammo_9mmRound","Ammo","9mm Round","T_Item_Ammo_9mmRound_Icon","/Game/Gercek/Items/Icons/Ammo","/Game/Gercek/Items/Icons/Ammo/T_Item_Ammo_9mmRound_Icon.T_Item_Ammo_9mmRound_Icon","SM_Item_Ammo_9mmRound_Pickup","/Game/Gercek/Items/Meshes/Ammo","/Game/Gercek/Items/Meshes/Ammo/SM_Item_Ammo_9mmRound_Pickup.SM_Item_Ammo_9mmRound_Pickup"
"Ammo_MeltedLead","Ammo","Melted Lead","T_Item_Ammo_MeltedLead_Icon","/Game/Gercek/Items/Icons/Ammo","/Game/Gercek/Items/Icons/Ammo/T_Item_Ammo_MeltedLead_Icon.T_Item_Ammo_MeltedLead_Icon","SM_Item_Ammo_MeltedLead_Pickup","/Game/Gercek/Items/Meshes/Ammo","/Game/Gercek/Items/Meshes/Ammo/SM_Item_Ammo_MeltedLead_Pickup.SM_Item_Ammo_MeltedLead_Pickup"
"Ammo_Sharpnel","Ammo","Ammo Sharapnel","T_Item_Ammo_Sharpnel_Icon","/Game/Gercek/Items/Icons/Ammo","/Game/Gercek/Items/Icons/Ammo/T_Item_Ammo_Sharpnel_Icon.T_Item_Ammo_Sharpnel_Icon","SM_Item_Ammo_Sharpnel_Pickup","/Game/Gercek/Items/Meshes/Ammo","/Game/Gercek/Items/Meshes/Ammo/SM_Item_Ammo_Sharpnel_Pickup.SM_Item_Ammo_Sharpnel_Pickup"
"Ammo_Surplus308","Ammo","Surplus 308","T_Item_Ammo_Surplus308_Icon","/Game/Gercek/Items/Icons/Ammo","/Game/Gercek/Items/Icons/Ammo/T_Item_Ammo_Surplus308_Icon.T_Item_Ammo_Surplus308_Icon","SM_Item_Ammo_Surplus308_Pickup","/Game/Gercek/Items/Meshes/Ammo","/Game/Gercek/Items/Meshes/Ammo/SM_Item_Ammo_Surplus308_Pickup.SM_Item_Ammo_Surplus308_Pickup"
"Wpn_BoltRifle","Weapon","Bolt Rifle","T_Item_Wpn_BoltRifle_Icon","/Game/Gercek/Items/Icons/Weapon","/Game/Gercek/Items/Icons/Weapon/T_Item_Wpn_BoltRifle_Icon.T_Item_Wpn_BoltRifle_Icon","SM_Item_Wpn_BoltRifle_Pickup","/Game/Gercek/Items/Meshes/Weapon","/Game/Gercek/Items/Meshes/Weapon/SM_Item_Wpn_BoltRifle_Pickup.SM_Item_Wpn_BoltRifle_Pickup"
"Wpn_OldGuard","Weapon","Old Guard","T_Item_Wpn_OldGuard_Icon","/Game/Gercek/Items/Icons/Weapon","/Game/Gercek/Items/Icons/Weapon/T_Item_Wpn_OldGuard_Icon.T_Item_Wpn_OldGuard_Icon","SM_Item_Wpn_OldGuard_Pickup","/Game/Gercek/Items/Meshes/Weapon","/Game/Gercek/Items/Meshes/Weapon/SM_Item_Wpn_OldGuard_Pickup.SM_Item_Wpn_OldGuard_Pickup"
"Wpn_PipeShotgun","Weapon","Pipe Shotgun","T_Item_Wpn_PipeShotgun_Icon","/Game/Gercek/Items/Icons/Weapon","/Game/Gercek/Items/Icons/Weapon/T_Item_Wpn_PipeShotgun_Icon.T_Item_Wpn_PipeShotgun_Icon","SM_Item_Wpn_PipeShotgun_Pickup","/Game/Gercek/Items/Meshes/Weapon","/Game/Gercek/Items/Meshes/Weapon/SM_Item_Wpn_PipeShotgun_Pickup.SM_Item_Wpn_PipeShotgun_Pickup"
