"RowName","Category","DisplayName","IconAssetName","IconFolder","IconAssetPath","PickupMeshAssetName","PickupMeshFolder","PickupMeshAssetPath"
"Drink_DirtyWater","Drink","Dirty Water","T_Item_Drink_DirtyWater_Icon","/Game/Gercek/Items/Icons/Drink","/Game/Gercek/Items/Icons/Drink/T_Item_Drink_DirtyWater_Icon.T_Item_Drink_DirtyWater_Icon","SM_Item_Drink_DirtyWater_Pickup","/Game/Gercek/Items/Meshes/Drink","/Game/Gercek/Items/Meshes/Drink/SM_Item_Drink_DirtyWater_Pickup.SM_Item_Drink_DirtyWater_Pickup"
"Drink_ElectrolyteMix","Drink","Electrolyte Mix","T_Item_Drink_ElectrolyteMix_Icon","/Game/Gercek/Items/Icons/Drink","/Game/Gercek/Items/Icons/Drink/T_Item_Drink_ElectrolyteMix_Icon.T_Item_Drink_ElectrolyteMix_Icon","SM_Item_Drink_ElectrolyteMix_Pickup","/Game/Gercek/Items/Meshes/Drink","/Game/Gercek/Items/Meshes/Drink/SM_Item_Drink_ElectrolyteMix_Pickup.SM_Item_Drink_ElectrolyteMix_Pickup"
"Drink_EnergyDrink","Drink","Energy Drink","T_Item_Drink_EnergyDrink_Icon","/Game/Gercek/Items/Icons/Drink","/Game/Gercek/Items/Icons/Drink/T_Item_Drink_EnergyDrink_Icon.T_Item_Drink_EnergyDrink_Icon","SM_Item_Drink_EnergyDrink_Pickup","/Game/Gercek/Items/Meshes/Drink","/Game/Gercek/Items/Meshes/Drink/SM_Item_Drink_EnergyDrink_Pickup.SM_Item_Drink_EnergyDrink_Pickup"
"Drink_FilteredWater","Drink","Filtered Water","T_Item_Drink_FilteredWater_Icon","/Game/Gercek/Items/Icons/Drink","/Game/Gercek/Items/Icons/Drink/T_Item_Drink_FilteredWater_Icon.T_Item_Drink_FilteredWater_Icon","SM_Item_Drink_FilteredWater_Pickup","/Game/Gercek/Items/Meshes/Drink","/Game/Gercek/Items/Meshes/Drink/SM_Item_Drink_FilteredWater_Pickup.SM_Item_Drink_FilteredWater_Pickup"
"Drink_MilitaryFlask","Drink","Military Flask","T_Item_Drink_MilitaryFlask_Icon","/Game/Gercek/Items/Icons/Drink","/Game/Gercek/Items/Icons/Drink/T_Item_Drink_MilitaryFlask_Icon.T_Item_Drink_MilitaryFlask_Icon","SM_Item_Drink_MilitaryFlask_Pickup","/Game/Gercek/Items/Meshes/Drink","/Game/Gercek/Items/Meshes/Drink/SM_Item_Drink_MilitaryFlask_Pickup.SM_Item_Drink_MilitaryFlask_Pickup"
"Med_Antibiotic","Medical","Antibiotic","T_Item_Med_Antibiotic_Icon","/Game/Gercek/Items/Icons/Medical","/Game/Gercek/Items/Icons/Medical/T_Item_Med_Antibiotic_Icon.T_Item_Med_Antibiotic_Icon","SM_Item_Med_Antibiotic_Pickup","/Game/Gercek/Items/Meshes/Medical","/Game/Gercek/Items/Meshes/Medical/SM_Item_Med_Antibiotic_Pickup.SM_Item_Med_Antibiotic_Pickup"
"Med_CleanBandage","Medical","Bandage","T_Item_Med_CleanBandage_Icon","/Game/Gercek/Items/Icons/Medical","/Game/Gercek/Items/Icons/Medical/T_Item_Med_CleanBandage_Icon.T_Item_Med_CleanBandage_Icon","SM_Item_Med_CleanBandage_Pickup","/Game/Gercek/Items/Meshes/Medical","/Game/Gercek/Items/Meshes/Medical/SM_Item_Med_CleanBandage_Pickup.SM_Item_Med_CleanBandage_Pickup"
"Med_DirtyBandage","Medical","Dirty Bandage","T_Item_Med_DirtyBandage_Icon","/Game/Gercek/Items/Icons/Medical","/Game/Gercek/Items/Icons/Medical/T_Item_Med_DirtyBandage_Icon.T_Item_Med_DirtyBandage_Icon","SM_Item_Med_DirtyBandage_Pickup","/Game/Gercek/Items/Meshes/Medical","/Game/Gercek/Items/Meshes/Medical/SM_Item_Med_DirtyBandage_Pickup.SM_Item_Med_DirtyBandage_Pickup"
"Med_FilterMask","Medical","Filter Mask","T_Item_Med_FilterMask_Icon","/Game/Gercek/Items/Icons/Medical","/Game/Gercek/Items/Icons/Medical/T_Item_Med_FilterMask_Icon.T_Item_Med_FilterMask_Icon","SM_Item_Med_FilterMask_Pickup","/Game/Gercek/Items/Meshes/Medical","/Game/Gercek/Items/Meshes/Medical/SM_Item_Med_FilterMask_Pickup.SM_Item_Med_FilterMask_Pickup"
"Med_FirstAidKit","Medical","First Aid Kit","T_Item_Med_FirstAidKit_Icon","/Game/Gercek/Items/Icons/Medical","/Game/Gercek/Items/Icons/Medical/T_Item_Med_FirstAidKit_Icon.T_Item_Med_FirstAidKit_Icon","SM_Item_Med_FirstAidKit_Pickup","/Game/Gercek/Items/Meshes/Medical","/Game/Gercek/Items/Meshes/Medical/SM_Item_Med_FirstAidKit_Pickup.SM_Item_Med_FirstAidKit_Pickup"
"Med_VitaminTabs","Medical","Vitamin Tabs","T_Item_Med_VitaminTabs_Icon","/Game/Gercek/Items/Icons/Medical","/Game/Gercek/Items/Icons/Medical/T_Item_Med_VitaminTabs_Icon.T_Item_Med_VitaminTabs_Icon","SM_Item_Med_VitaminTabs_Pickup","/Game/Gercek/Items/Meshes/Medical","/Game/Gercek/Items/Meshes/Medical/SM_Item_Med_VitaminTabs_Pickup.SM_Item_Med_VitaminTabs_Pickup"
